0.001, 0.010, 0.000, 10.0, 9.5, 1e+06, 0.114, 0.025, 4.4615e+05, 4.4615e+05, 2.6912e+27, 0.8130, 1.156e+24, 1.74e+22, 3.008e+20
0.001, 0.010, 0.000, 12.0, 11.4, 1e+06, 0.114, 0.025, 6.4246e+05, 6.4246e+05, 3.8754e+27, 0.7420, 1.582e+24, 3.208e+22, 2.973e+20
0.001, 0.010, 0.000, 15.0, 14.3, 1e+06, 0.114, 0.025, 1.0038e+06, 1.0038e+06, 6.0553e+27, 0.5356, 2.83e+24, 7.909e+22, 4.943e+20
0.001, 0.010, 0.260, 3.0, 2.9, 1e+06, 0.114, 0.025, 4.0153e+04, 4.0153e+04, 2.4221e+26, 0.9924, 4.686e+22, 1.689e+20, 4.605e+12
0.001, 0.010, 0.260, 5.0, 4.8, 1e+06, 0.114, 0.025, 1.1154e+05, 1.1154e+05, 6.7281e+26, 0.9733, 1.649e+23, 1.559e+21, 2.845e+19
0.001, 0.010, 0.260, 7.5, 7.2, 1e+06, 0.114, 0.025, 2.5096e+05, 2.5096e+05, 1.5138e+27, 0.9163, 5.177e+23, 9.219e+21, 1.662e+20
0.001, 0.010, 0.260, 8.0, 7.6, 1e+06, 0.114, 0.025, 2.8554e+05, 2.8554e+05, 1.7224e+27, 0.8989, 6.247e+23, 1.351e+22, 2.997e+20
0.001, 0.010, 0.260, 10.0, 9.5, 1e+06, 0.114, 0.025, 4.4615e+05, 4.4615e+05, 2.6912e+27, 0.8219, 1.089e+24, 2.128e+22, 3.62e+20
0.001, 0.010, 0.500, 3.0, 2.9, 1e+06, 0.114, 0.025, 4.0153e+04, 4.0153e+04, 2.4221e+26, 0.9906, 5.789e+22, 2.237e+20, 7.731e+09
0.001, 0.010, 0.500, 5.0, 4.8, 1e+06, 0.114, 0.025, 1.1154e+05, 1.1154e+05, 6.7281e+26, 0.9699, 1.861e+23, 2.103e+21, 1.3e+18
0.001, 0.010, 0.500, 7.5, 7.2, 1e+06, 0.114, 0.025, 2.5096e+05, 2.5096e+05, 1.5138e+27, 0.9245, 4.635e+23, 1.286e+22, 1.048e+20
0.001, 0.010, 0.500, 8.0, 7.6, 1e+06, 0.114, 0.025, 2.8554e+05, 2.8554e+05, 1.7224e+27, 0.9004, 6.159e+23, 3.248e+22, 1.34e+20
0.001, 0.010, 0.500, 10.0, 9.5, 1e+06, 0.114, 0.025, 4.4615e+05, 4.4615e+05, 2.6912e+27, 0.8691, 8.094e+23, 3.251e+22, 1.76e+20
0.001, 0.010, 0.500, 12.0, 11.4, 1e+06, 0.114, 0.025, 6.4246e+05, 6.4246e+05, 3.8754e+27, 0.8309, 1.042e+24, 2.571e+22, 2.214e+20
0.001, 0.010, 0.500, 15.0, 14.3, 1e+06, 0.114, 0.025, 1.0038e+06, 1.0038e+06, 6.0553e+27, 0.7325, 1.651e+24, 5.128e+22, 3.91e+20
0.001, 0.010, 0.707, 3.0, 2.9, 1e+06, 0.114, 0.025, 4.0153e+04, 3.6928e+04, 2.2276e+26, 0.9867, 8.196e+22, 4.153e+20, 1.88e+19
0.001, 0.010, 0.707, 5.0, 4.8, 1e+06, 0.114, 0.025, 1.1154e+05, 1.0258e+05, 6.1876e+26, 0.9766, 1.446e+23, 1.222e+21, 6.71e+18
0.001, 0.010, 0.707, 7.5, 7.2, 1e+06, 0.114, 0.025, 2.5096e+05, 2.3080e+05, 1.3922e+27, 0.9343, 4.06e+23, 3.502e+22, 4.133e+19
0.001, 0.010, 0.707, 8.0, 7.6, 1e+06, 0.114, 0.025, 2.8554e+05, 2.6260e+05, 1.5840e+27, 0.9290, 4.388e+23, 3.903e+22, 2.434e+19
0.001, 0.010, 0.707, 10.0, 9.5, 1e+06, 0.114, 0.025, 4.4615e+05, 4.1031e+05, 2.4751e+27, 0.9016, 6.053e+23, 5.675e+22, 7.99e+19
0.001, 0.010, 0.707, 12.0, 11.4, 1e+06, 0.114, 0.025, 6.4246e+05, 5.9085e+05, 3.5641e+27, 0.9178, 5.08e+23, 2.919e+22, 4.457e+19
